Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
634,80,80,38190,False,3,9,0,08/03/2026 11:13:51,False,0,1,53,35,1,2448,,3,8,4,08/03/2026 11:54:34,False,0,1,3012E671,53,2,8,GF,80/80,1016,1016,Petrel
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,0,0,0,0.21,0.21,0,0,0,1,0,18,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
10,4,0,1,0.29,0.21,0,0,99,1,0,26,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
20,4.1,0,1,0.29,0.21,0,0,99,1,0,27,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
30,4.5,0,1,0.3,0.21,0,0,99,1,0,27,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
40,4.1,0,1,0.29,0.21,0,0,99,1,0,27,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
50,3.8,0,1,0.29,0.21,0,0,99,1,0,27,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
60,4.4,0,1,0.3,0.21,0,0,99,1,0,27,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
70,4.4,0,1,0.3,0.21,0,0,99,1,0,27,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
80,5.4,0,1,0.32,0.21,0,0,99,1,0,27,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
90,6.1,0,1,0.33,0.21,0,0,99,1,0,27,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
100,7,0,1,0.35,0.21,0,0,99,1,0,27,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
110,8.5,0,1,0.38,0.21,0,0,99,1,0,27,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
120,9.1,0,1,0.4,0.21,0,0,99,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
130,10.3,0,1,0.42,0.21,0,0,99,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
140,12.8,0,2,0.47,0.21,0,0,97,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
150,16,0,2,0.54,0.21,0,0,70,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
160,17.6,0,2,0.56,0.21,0,0,47,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
170,19.5,0,2,0.61,0.21,0,0,37,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
180,21.3,0,3,0.64,0.21,0,0,27,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
190,23.2,0,3,0.68,0.21,0,0,25,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
200,26.9,0,3,0.75,0.21,0,0,18,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
210,28.4,0,3,0.79,0.21,0,0,14,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
220,30.4,0,3,0.83,0.21,0,0,11,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
230,32.5,0,4,0.87,0.21,0,0,9,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
240,33.2,0,4,0.89,0.21,0,0,9,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
250,33.1,0,4,0.89,0.21,0,0,8,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
260,32.7,0,4,0.88,0.21,0,0,8,1,0,28,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
270,32.7,0,4,0.88,0.21,0,0,8,1,0,29,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
